"","門市名稱","門市網址","門市地址","門市電話","營業時間"
"47","新中友門市(B棟B2)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=467","台中市北區三民路三段161號","04-22290796","平日 1100-2200
假日 1030-2200"
"48","博華門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=466","高雄市鼓山區博愛二路343號","07-5539485","平日 0900-2300
假日 0900-2300"
"49","百成門市(B2)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=465","台南市東區前鋒路210號","06-2087091","平日 1100-2200
假日 1100-2200"
"50","新連城門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=464","新北市中和區連城路353號","02-22235901","平日 0900-2300
假日 0900-2300"
"51","高榮門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=463","高雄市左營區榮總路181號","07-3509473","平日 0830-2230
假日 0830-2230"
"52","花博門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=462","台北市大同區酒泉街39號","02-25956848","平日 0800-2300
假日 0900-2300"
"53","藝文門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=461","桃園市桃園區中正路1063號","03-3259756","平日 0900-2300
假日 0800-2330"
"54","芝山門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=460","台北市士林區福華路164巷6號","02-28347494","平日 0800-2330
假日 0900-2330"
"55","歸仁門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=459","台南市歸仁區民權北路35號","06-2308648","平日 0900-2300
假日 0900-2300"
"56","新后里門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=458","台中市后里區甲后路一段539號","04-25584033","平日0900-2200
假日0900-2200"
"57","新大坪門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=457","新北市新店區民權路17號","02-89145984","平日0800-2300
假日0800-2300"
"58","新大墩門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=456","台中市西屯區大墩路907.909號","04-23268921","平日0900-2300
假日0900-2300"
"59","興大門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=455","台中市南區學府路48號","04-22856236","平日10:00-23:00
假日10:00-23:00"
"60","泰山門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=454","新北市泰山區泰林路二段189號","02-85314804","平日0900-2300
假日0900-2300"
"61","未來門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=453","新北市林口區仁愛路二段516號","02-26015847","平日0900-2300
假日0900-2300"
"62","漢寧門市(1樓右邊部份)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=452","台北市中正區漢口街一段3、5、9、11號","02-23120975","平日 0800-2330
假日 0800-2330"
"63","美景門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=451","高雄市鼓山區美術東二路5號","07-5526443","平日0900-2300
假日0900-2300"
"64","健行門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=450","台中市西區健行路1042號","04-23231067","平日 0900-2330
假日 0900-2330"
"65","深坑門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=449","新北市深坑區北深路3段249號","02-26628644","平日0800-2300
假日0800-2300"
"66","蘆竹門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=448","桃園市蘆竹區中山路42號","03-3114672","平日0900-2300
假日0900-2300"
"67","長榮門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=446","新北市蘆洲區長榮路418號","02-82860546","平日0900-2300
假日0900-2300"
"68","新雙連門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=445","台北市中山區民生西路23號","02-25117308","平日0730-2330
假日0730-2330"
"69","頂運門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=444","新北市永和區永和路二段116號","02-29294322","平日 0800-2330
假日 0800-2330"
"70","新大溪門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=443","桃園市大溪區慈湖路127號1樓","03-3882619","平日0900-2300
假日0900-2300"
"71","延吉門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=442","台北市大安區忠孝東路四段250號","02-87714448","平日 0800-2330
假日 0900-2330"
"72","歐風1號門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=441","新竹市東區關新路36號","03-5679335","平日1000-2300
假日1000-2300"
"73","竹站門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=440","新竹市東區民族路2號","03-5247314","平日1100-2130
週六1100-2200"
"74","新龍騰門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=439","基隆市仁愛區愛四路78號","02-24276264","平日1000-0100
假日1000-0100"
"75","時尚1號(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=438","高雄市前鎮區中華五路789號","07-8232897","平日 1100-2200
假日 1030-2230"
"76","新中山門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=437","台南市中西區中山路162號","06-2228454","平日1100-2200
假日1100-2200"
"77","新天地門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=436","台南市中西區西門路一段658號B2","06-3030025","平日1100-2200
假日1100-2200"
"78","彩虹門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=435","高雄市左營區高鐵路115號","07-3450374","平日1100-2200
假日1100-2200"
"79","基河門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=434","台北市士林區基河路128號","02-28839403","平日1000-2300
假日1000-2300"
"80","喜來登門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=433","新竹縣竹北市十興里光明六路東一段241號","03-6577570","平日 0900-2230
假日 0900-2230"
"81","新尊吉門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=432","台北市北投區實踐街30號","02-28218193","平日0900-2300
假日0900-2300"
"82","新太平門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=431","台中市太平區中興路106、108號","04-23514920","平日0900-2230
假日0900-2230"
"83","清水門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=430","台中市清水區中山路106號","04-26221459","平日 0900-2200
假日 0900-2200"
"84","新泉源門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=429","台北市北投區中和街294號","02-28916207","平日 0800-2300
假日 0800-2300"
"85","新百中門市(10樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=428","台中市西屯區台灣大道三段251號","04-22548649","平日 1100-2200
假日 1030-2200"
"86","淡捷門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=427","新北市淡水區中正路1號","02-26227640","平日 0800-2300
假日 0800-2330"
"87","新統領門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=426","台北市大安區忠孝東路4段181巷6號","02-87710951","平日 0900-2400
假日 0900-2400"
"88","薇閣門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=425","台北市中山區敬業三路11號","02-85021684","平日 0800-2330
假日 0800-2300"
"89","新龍安門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=424","桃園市桃園區龍安街134號","03-3602109","平日 0900-2300
假日 0900-2300"
"90","武廟門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=423","高雄市苓雅區武廟路133-1號","07-7260449","平日 0900-2300
假日 0900-2300"
"91","美術東門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=421","高雄市鼓山區美術東五路66號","07-5526390","平日 0900-2300
假日 0900-2300"
"92","新佳里門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=420","台南市佳里區延平路233號","06-7233045","平日 0900-2230
假日 0900-2230"
"93","屏廣門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=418","屏東縣屏東市廣東路66號","08-7212502","平日 0900-2230
假日 0900-2230"
"94","南紡門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=417","台南市東區東光里1鄰中華東路一段366號","06-2086010","平日 1100-2200
假日 1100-2200"
"95","松捷門市(B1(B3.B4))","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=416","台北市信義區松山路11號","02-27483828","平日 0700-2300
假日 0700-2300"
"96","新宜東門市(1.2.3.4樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=415","宜蘭縣羅東鎮興東路8-2號","03-9562708","平日 0900-2300
假日 0900-2300"
"97","忠勇門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=414","台中市南屯區忠勇路105-27號","04-23804497","平日 0900-2300
假日 0900-2300"
"98","新大庄門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=413","新竹市香山區大庄路39、41號","03-5399456","平日 0900-2230
假日 0900-2230"
"99","新虎林門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=412","台北市信義區忠孝東路5段468號","02-87868269","平日 0800-2330
假日 0800-2330"
"100","大東運門市(1.2.3樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=411","台北市士林區大東路11之6號","02-28835386","平日 1200-0100
假日 1100-0100"
"101","嘉藥門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=410","台南市仁德區二仁路一段161號、163號","06-2662681","平日 0900-2230
假日 0900-2230"
"102","福德門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=408","台北市信義區福德街280號","02-27590865","平日 0900-2300
假日 0900-2300"
"103","新汐樟門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=407","新北市汐止區樟樹一路132號","02-26904076","平日 0900-2300
假日 0900-2300"
"104","逢星門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=406","台中市西屯區福星路431.431-1號","04-24524278","平日 1000-0100
假日 1000-0100"
"105","潭子門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=405","台中市潭子區勝利路185號","04-25344038","平日 0900-2300
假日 0900-2300"
"106","權站門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=404","台北市中山區民權西路40 及40-1號","02-25221786","平日 0800-2300
假日 0900-2300"
"107","新遠板門市 (B1(295))","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=403","新北市板橋區中山路一段152號","02-29567290","平日 1100-2200
假日 1100-2200"
"108","大公益門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=402","台中市西區公益路128號","04-23217287","平日 0900-2300
假日 0900-2300"
"109","新和運","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=400","新北市中和區興南路一段55-1號","02-29435263","平日 1000-2400
假日 1000-2400"
"110","林口門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=399","新北市林口區文化三路一段327、329號","02-26005844","平日 0800-2300
假日 0800-2300"
"111","新斗六門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=398","雲林縣斗六市大同路32號","05-5374111","平日 0900-2300
假日 0900-2330"
"112","微風門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=397","台北市大安區復興南路一段125號1樓","02-27754585","平日 0800-2300
假日(五.六) 0800-2400"
"113","樹運門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=396","新北市樹林區博愛一街37號1樓","02-86755335","平日0800-2300
假日0800-2300"
"114","北斗門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=395","彰化縣北斗鎮中華路270 、274號","04-8872185","平日0900-2200
假日0900-2200"
"115","墾丁門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=394","屏東縣恆春鎮墾丁路165號","08-8861243","平日1100-2430
假日1100-2430"
"116","大新竹門市(1,2,3樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=393","新竹市東區中正路19號","03-5249364","平日0900-2230
假日0900-2230"
"117","新衡運門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=392","台北市中正區衡陽路93號","02-23703393","平日0800-2300
假日0800-2300"
"118","新通運門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=391","台北市中正區忠孝西路一段50-1號","02-23821673","平日0800-2300
假日0800-2300"
"119","新林園門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=389","高雄市林園區東林西路99號、101號","07-6417941","平日 0900-2300
假日 0900-2300"
"120","虎尾藥局","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=388","雲林縣虎尾鎮中正路258、258-1號","05-6328411","平日0900-2300
假日0900-2300"
"121","義冠門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=387","高雄市大樹區學城路一段12號","07-6569516","平日1100-2200
平日1000-2200"
"122","新家專門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=385","台南市永康區中正路561、563號","06-2433956","6/27-9/3暑假期間
營業時間調整為 0900-2300"
"123","新新莊門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=384","新北市新莊區中正路164號1樓","02-29949247","平日0800-2300
假日0800-2300"
"124","廣三門市(廣三SOGO B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=383","台中市西區臺灣大道二段459號","04-23281605","平日1100-2200
假日1030-2200"
"125","板高門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=381","新北市板橋區縣民大道2段7號","02-89697494","平日0700-2300
假日0700-2300"
"126","楓康門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=380","台中市大里區成功路171號","04-24954025","平日0900-2300
假日0900-2300"
"127","鹿港門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=379","彰化縣鹿港鎮民權路87號","04-7773091","平日0900-2200
假日0900-2200"
"128","童綜合門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=378","台中市梧棲區台灣大道8段699號","04-26567160","平日 0800-2200
W日 1000-1800"
"129","頂盛門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=376","新北市新莊區民安西路135號1樓","02-22040804","平日0930-2300
假日0930-2300"
"130","新通化門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=375","台北市大安區通化街28號","02-27555276","平日0900-2400
假日0900-2400"
"131","新美都門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=374","高雄市苓雅區三多四路21號","07-3383591","平日  1100-2200
W5.6 1100-2230"
"132","興昌門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=373","台中市北屯區興安路一段289號","04-22472463","平日0900-2300
假日0900-2300"
"133","豐百門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=372","台中市豐原區復興路2號","04-25254427","平日1100-2200
假日1100-2200"
"134","都會1號門市(1、2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=371","桃園市蘆竹區大竹路379 381 號","03-3239094","平日0800-2300
假日0800-2300"
"135","嘉文門市(1.2樓)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=370","嘉義市東區文化路76號","05-2277606","週日至週四 1000-2330
週五至週六 1000-2400"
"136","壢永門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=369","桃園市中壢區福州二街396號1樓","03-4558392","平日0900-2300
假日0900-2300"
"137","新光門市(B2)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=368","高雄市左營區高鐵路123號","07-3504104","平日 1100-2200
假日 1100-2200"
"138","大埔門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=273","彰化縣彰化市大埔路540號","04-7117007","平日09：00-22：00
假日09：00-22：00"
"139","雲斗門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=274","雲林縣斗六市民生南路55號","05-5371374","平日10：00-23：00
假日10：00-23：00"
"140","新興門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=275","新北市新店區中正路31號","02-29107021","平日08：00-23：00
假日08：00-23：00"
"141","新雄文門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=278","高雄市苓雅區廣州一街143-7號","07-2238460","平日 0900-2300
假日 0900-2300"
"142","莊敬門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=280","台北市信義區莊敬路466-1、466-2、472號","02-27209049","平日08：00-23：00
假日08：00-23：00"
"143","苑裡門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=281","苗栗縣苑裡鎮大同路16號","037-856481","平日09：00-22：30
假日09：00-22：30"
"144","五股門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=282","新北市五股區成泰路二段 71、73號","02-82927214","平日08：00-23：00
假日08：00-23：00"
"145","三民門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=1","新北市蘆洲區復興路76、78號","02-82858984","平日09：00-23：00
假日09：00-23：00"
"146","大寮門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=199","高雄市大寮區鳳林四路14之2號","07-7813509","平日10：00-23：00
假日10：00-23：00"
"147","大湖門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=200","台北市內湖區成功路四段363號","02-27954291","平日08：00-23：00
假日08：00-23：00"
"148","公館門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=201","台北市中正區羅斯福路四段24巷12弄12號","02-23657215","平日:1100-2300
假日:1000-2400"
"149","國際門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=202","桃園市桃園區國際路一段1193號","03-3694806","平日09：00-23：00
假日09：00-23：00"
"150","鳳甲門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=205","高雄市鳳山區新富路452號","07-7634412","平日09：00-23：00
假日09：00-23：00"
"151","崑大門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=206","台南市永康區大灣路927-1號","06-2071490","平日09：00-23：00
假日10：00-23：00"
"152","新正昌門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=207","桃園市桃園區中正路568號","03-3338661","平日 0900-2330
假日 0900-2330"
"153","統強門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=208","台南市永康區正強街207號","06-2015148","平日 0900-2300
假日 0900-2300"
"154","集美門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=209","新北市三重區集美街204號","02-29745748","平日08：00-23：00
假日08：00-23：00"
"155","靜宜門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=210","台中市沙鹿區北勢東路586、588、590號","04-26522801","平日09：00-23：00
假日09：00-23：00"
"156","北大門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=212","新北市三峽區大學路154號","02-86714233","平日 0800-2330
假日 0800-2330"
"157","新城門市(B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=214","新北市板橋區新站路28號","02-29648508","平日 1100-2200
假日 1100-2200"
"158","頂竹門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=216","新竹市東區南大路256號","03-5619017","平日09：00-22：30
假日09：00-22：30"
"159","松航門市(松山機場國際航廈1F)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=218","台北市松山區敦化北路340-9號","02-25464573","平日06：00-22：00
假日06：00-22：00"
"160","橋站門市(環球板橋店--板橋火車站B1)","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=220","新北市板橋區縣民大道2段7號","02-89699202","平日 0700-2200
週五.六.日 0700-2200"
"161","東軍門市","https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=221","台中市北屯區東山路1段250-2號","04-24366933","平日09：00-23：00
假日10：00-23：00"
